"female","race","outcome","riskfactor","V1","V2","V3"
0,4,"MMC","leg_tot",1.90582231682661,2.63903122656785,2.73859856150429
1,1,"MMC","leg_tot",33.6823230423681,26.2725992965253,35.7925517266904
1,2,"MMC","leg_tot",9.94649802486811,18.7692862614362,10.1699116282617
1,3,"MMC","leg_tot",6.69783708065145,3.56149868131576,3.55855977397357
1,4,"MMC","leg_tot",2.12311844565174,2.06686961150349,1.8449356750365
0,1,"OC","leg_tot",0,0,0
0,2,"OC","leg_tot",0,0,0
0,3,"OC","leg_tot",0,0,0
0,4,"OC","leg_tot",0,0,0
1,1,"OC","leg_tot",39.6762927976043,40.8588668397175,34.4689925594476
1,2,"OC","leg_tot",7.18872674933635,6.8093488868609,6.52294363065035
1,3,"OC","leg_tot",6.5652486826766,4.43445661392945,8.86875236825127
1,4,"OC","leg_tot",5.02153782496155,6.37530973923782,5.74346904453467
0,1,"OSTK","leg_tot",1304.71122637318,1714.89486538588,1536.29920887493
0,2,"OSTK","leg_tot",298.101128381366,314.436130067286,313.095077972219
0,3,"OSTK","leg_tot",80.086939229079,95.9581412774562,110.315352791134
0,4,"OSTK","leg_tot",49.9474904971217,63.6105508690823,58.8327251387274
1,1,"OSTK","leg_tot",2030.66635007294,1992.92235809646,1655.32340216516
1,2,"OSTK","leg_tot",225.669968283657,287.551938094039,358.626946113931
1,3,"OSTK","leg_tot",108.962299443588,118.84206392732,108.379184903372
1,4,"OSTK","leg_tot",63.8533871051877,73.4794827202152,96.6152502424068
0,1,"OTH","leg_tot",177.600827823486,181.324951979855,181.696096152839
0,2,"OTH","leg_tot",27.8194449997161,31.8860796080306,26.6157568014151
0,3,"OTH","leg_tot",10.8521865554536,11.4235733855907,12.2790516471178
0,4,"OTH","leg_tot",5.90462672569059,5.34036988358006,4.31856375363446
1,1,"OTH","leg_tot",194.173331743552,365.527473352807,231.753380991246
1,2,"OTH","leg_tot",37.8729461659668,35.549809355268,33.1216171593368
1,3,"OTH","leg_tot",13.590655115997,19.5539670597529,13.7428920448883
1,4,"OTH","leg_tot",6.75083448861137,6.01586767901215,9.54289108839331
0,1,"PC","leg_tot",125.373358242813,136.969118824017,109.882270982796
0,2,"PC","leg_tot",11.082686990971,10.9154152514743,15.1810614067365
0,3,"PC","leg_tot",9.71726413125912,8.26185814048062,6.08473404547242
0,4,"PC","leg_tot",4.96237837042983,5.34955208693369,7.63729202984458
1,1,"PC","leg_tot",82.2249489485945,110.159186629411,91.4835166292194
1,2,"PC","leg_tot",8.92458551914518,10.9122156852114,15.0651665233547
1,3,"PC","leg_tot",8.11189348934483,10.3881156381943,8.61820704127932
1,4,"PC","leg_tot",6.43334876640195,6.86577967494642,6.07146619858066
0,1,"PVD","leg_tot",40.8704741288724,38.7347992713394,33.080161554133
0,2,"PVD","leg_tot",7.49757672893546,5.79287989978199,6.75318793248734
0,3,"PVD","leg_tot",3.25912018229047,2.35160238393334,2.86998686627927
0,4,"PVD","leg_tot",0.841859115127273,1.06789132474037,0.600769357275705
1,1,"PVD","leg_tot",38.4582191026616,38.6798321339452,44.8569971805442
1,2,"PVD","leg_tot",6.29676780294446,7.85453829123115,10.2559260135692
1,3,"PVD","leg_tot",3.17583053291402,3.36947786272891,3.15317481282847
1,4,"PVD","leg_tot",0.857958596714265,1.12913726655341,1.70099892825413
0,1,"RHD","leg_tot",15.6540101036862,17.9204034581323,14.9425769295139
0,2,"RHD","leg_tot",2.28644691098427,2.123314115086,1.60615892895115
0,3,"RHD","leg_tot",1.11519154540628,1.34958612892392,1.43105320173384
0,4,"RHD","leg_tot",0.631546894316954,0.772974157008266,0.828304325939064
1,1,"RHD","leg_tot",21.4403045192225,19.8212407552592,22.2890844760767
1,2,"RHD","leg_tot",4.17215592465822,3.70529846815714,2.77446832220871
1,3,"RHD","leg_tot",1.65821835563569,2.30326324882221,2.13189849883571
1,4,"RHD","leg_tot",0.993868015782877,1.10176930170385,1.25699673537244
0,1,"SCC","leg_tot",72.1831257635223,52.8235046155634,79.3035933008423
0,2,"SCC","leg_tot",4.60985015012851,2.73159886468056,2.75787083058934
0,3,"SCC","leg_tot",2.93039537392425,2.9465954688262,4.20358841952138
0,4,"SCC","leg_tot",2.44745984135705,3.04030577784801,2.30499771330052
1,1,"SCC","leg_tot",14.5349469208294,15.2851033605371,15.2826875646902
1,2,"SCC","leg_tot",1.38813897229296,2.23043097375922,1.80310276141496
1,3,"SCC","leg_tot",1.30508631069377,2.07865369051053,1.96428428392182
1,4,"SCC","leg_tot",1.13321608452318,1.7078490753868,1.76366989726887
0,1,"SCNC","leg_tot",0,0,0
