"female","race","outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,3,"ENDO",0.133621028785075,0.0633584654013985,0.109770354255216,0.0868553875268646,0.200659743393666,0.00178044166678668,0.000780999409496027,0.0016884361993651,0.00108146593284554,0.00255762204803615,0.16884361993651,0.108146593284554,0.255762204803615,0.000698864292996232,0.000331377250502209,0.00057412056856642,0.000454270780196658,0.00104948997156115
0,3,"GC",0.116178109897648,0.0928313552334955,0.131483401625478,0.02238716886458,0.196959552962061,0.000505573116351351,0.000395013999209424,0.000581450293885932,0.000103290803803779,0.000843359827994529,0.0581450293885932,0.0103290803803779,0.0843359827994529,0.000607634392381863,0.000485526268080833,0.000687684082013243,0.000117089301609086,0.00103013724696797
0,3,"HHD",3.19159261245398,0.472991498016386,3.46453381272104,2.68638433483867,3.4648008698423,0.0015961201548261,0.000219358888559868,0.00168147620387404,0.00136364162248906,0.00175604604547239,0.168147620387404,0.136364162248906,0.175604604547239,0.01669265784671,0.00247383867539398,0.0181201940712739,0.0140503190699343,0.0181215908326065
0,3,"HSTK",9.66284381108948,5.83579929133852,11.0161899610515,3.65662098401656,14.5187224106947,0.00594604588524179,0.00347673057234437,0.00688635292633591,0.00233539818123648,0.0087574326043171,0.688635292633591,0.233539818123648,0.87574326043171,0.0505385759245431,0.0305223794704443,0.0576168427877151,0.0191248478026638,0.0759357772127263
0,3,"IHD",25.7970377556605,12.5927893761916,31.5732377785227,12.3633837453389,34.3209217465491,0.00174495213021607,0.000852028495887298,0.0021542499744339,0.000834944240837251,0.00230705685200973,0.21542499744339,0.0834944240837251,0.230705685200973,0.134923587375646,0.0658627681904633,0.165134250935762,0.0646629315668949,0.179505179158299
0,3,"ISTK",4.73939076469602,2.8338237675735,6.06567286002878,1.71463608876001,6.63680565959918,0.00315967960909928,0.00191059912875673,0.00423664725092344,0.00111786093580798,0.00428607578684004,0.423664725092344,0.111786093580798,0.428607578684004,0.0247879469730001,0.0148214563366869,0.0317246635010487,0.00896788438775244,0.0347118005094065
0,3,"KC",3.54872960204266,2.84742635870625,2.83031055245674,1.21436642181472,6.49374897441862,0.000794284252367409,0.000610789873236692,0.000673517106631503,0.000273929887487409,0.00141729069112293,0.0673517106631503,0.0273929887487409,0.141729069112293,0.018560554629133,0.0148926005669128,0.0148030815298093,0.00635137551728461,0.0339635858754067
0,3,"LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"LVC",3.71246297115565,1.48240179991497,3.90261434457912,2.23208326336254,5.03121401153882,0.000984090966884301,0.000380342457738384,0.00107110789973001,0.000592946750652314,0.00130127079019743,0.107110789973001,0.0592946750652314,0.130127079019743,0.0194169123917207,0.007753253325869,0.0204114415190454,0.0116742350058363,0.026314240019379
0,3,"MLPC",7.12093915253194,2.56897958623725,7.52312586252276,4.53201428729413,9.36800531427754,0.00283838462707373,0.00110238305642994,0.00306599506454976,0.00171126426757207,0.00377203611472078,0.306599506454976,0.171126426757207,0.377203611472078,0.0372439140122778,0.0134362691155839,0.0393474297035266,0.0237033271599269,0.0489965125270671
