"female","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"CM","medBMI",107.170549494057,15.6425611661686,101.268685900139,95.6340714523381,123.723611590606,0.0129727858327036,0.00184173688963496,0.0123615636526771,0.0115567271591546,0.0149083833592751,1.23615636526771,1.15567271591546,1.49083833592751,0.0843789503667142,0.0123159104668174,0.0797322161882174,0.0752958961817316,0.0974117286034191
1,"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"DIAB","medBMI",1138.43875466738,110.077917757226,1079.27871292752,1071.02517294424,1256.13837186941,0.0359467280350186,0.00354297810133775,0.0339530179240866,0.0338549547532094,0.0397331549111201,3.39530179240866,3.38549547532094,3.97331549111201,0.896330826230859,0.086668018431904,0.849752150939682,0.843253863454114,0.988999663005105
1,"DIAB","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"ECA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"ECA","medBMI",29.2578657217311,3.21729382050941,30.516734460182,25.8472455222812,31.5984474934977,0.0200888864646039,0.00213749967747252,0.0205503678107643,0.0178979421292456,0.0218875716557257,2.05503678107643,1.78979421292456,2.18875716557257,0.0230356941456836,0.00253308280005557,0.0240268435174225,0.0203503990353412,0.0248785122900478
1,"ECA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"ENDO","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"ENDO","medBMI",12.8571447993731,0.960641419765439,12.8315268786562,11.9556664773626,13.7803983539929,0.0179549188405158,0.00172431044217964,0.0182789681968117,0.0162009436492152,0.0194334520789649,1.82789681968117,1.62009436492152,1.94334520789649,0.0101228591997107,0.000756345050587735,0.0101026893557482,0.00941309523051673,0.0108497675362726
1,"ENDO","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"GC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
