"","age","female","race","outcome","pathway","V1","V2","V3"
"430",55,1,4,"ENDO","direct",0,0,0
"431",65,1,4,"ENDO","direct",0,0,0
"432",75,1,4,"ENDO","direct",0,0,0
"433",25,0,1,"GC","direct",0,0,0
"434",35,0,1,"GC","direct",0,0,0
"435",45,0,1,"GC","direct",0,0,0
"436",55,0,1,"GC","direct",0,0,0
"437",65,0,1,"GC","direct",0,0,0
"438",75,0,1,"GC","direct",0,0,0
"439",25,1,1,"GC","direct",0,0,0
"440",35,1,1,"GC","direct",0,0,0
"441",45,1,1,"GC","direct",0,0,0
"442",55,1,1,"GC","direct",0,0,0
"443",65,1,1,"GC","direct",0,0,0
"444",75,1,1,"GC","direct",0,0,0
"445",25,0,2,"GC","direct",0,0,0
"446",35,0,2,"GC","direct",0,0,0
"447",45,0,2,"GC","direct",0,0,0
"448",55,0,2,"GC","direct",0,0,0
"449",65,0,2,"GC","direct",0,0,0
"450",75,0,2,"GC","direct",0,0,0
"451",25,1,2,"GC","direct",0,0,0
"452",35,1,2,"GC","direct",0,0,0
"453",45,1,2,"GC","direct",0,0,0
"454",55,1,2,"GC","direct",0,0,0
"455",65,1,2,"GC","direct",0,0,0
"456",75,1,2,"GC","direct",0,0,0
"457",25,0,3,"GC","direct",0,0,0
"458",35,0,3,"GC","direct",0,0,0
"459",45,0,3,"GC","direct",0,0,0
"460",55,0,3,"GC","direct",0,0,0
"461",65,0,3,"GC","direct",0,0,0
"462",75,0,3,"GC","direct",0,0,0
"463",25,1,3,"GC","direct",0,0,0
"464",35,1,3,"GC","direct",0,0,0
"465",45,1,3,"GC","direct",0,0,0
"466",55,1,3,"GC","direct",0,0,0
"467",65,1,3,"GC","direct",0,0,0
"468",75,1,3,"GC","direct",0,0,0
"469",25,0,4,"GC","direct",0,0,0
"470",35,0,4,"GC","direct",0,0,0
"471",45,0,4,"GC","direct",0,0,0
"472",55,0,4,"GC","direct",0,0,0
"473",65,0,4,"GC","direct",0,0,0
"474",75,0,4,"GC","direct",0,0,0
"475",25,1,4,"GC","direct",0,0,0
"476",35,1,4,"GC","direct",0,0,0
"477",45,1,4,"GC","direct",0,0,0
"478",55,1,4,"GC","direct",0,0,0
"479",65,1,4,"GC","direct",0,0,0
"480",75,1,4,"GC","direct",0,0,0
"481",25,0,1,"HHD","direct",0,0,0
"482",35,0,1,"HHD","direct",0,0,0
"483",45,0,1,"HHD","direct",0,0,0
"484",55,0,1,"HHD","direct",0,0,0
"485",65,0,1,"HHD","direct",0,0,0
"486",75,0,1,"HHD","direct",0,0,0
"487",25,1,1,"HHD","direct",0,0,0
"488",35,1,1,"HHD","direct",0,0,0
"489",45,1,1,"HHD","direct",0,0,0
"490",55,1,1,"HHD","direct",0,0,0
"491",65,1,1,"HHD","direct",0,0,0
"492",75,1,1,"HHD","direct",0,0,0
"493",25,0,2,"HHD","direct",0,0,0
"494",35,0,2,"HHD","direct",0,0,0
"495",45,0,2,"HHD","direct",0,0,0
"496",55,0,2,"HHD","direct",0,0,0
"497",65,0,2,"HHD","direct",0,0,0
"498",75,0,2,"HHD","direct",0,0,0
"499",25,1,2,"HHD","direct",0,0,0
"500",35,1,2,"HHD","direct",0,0,0
"501",45,1,2,"HHD","direct",0,0,0
"502",55,1,2,"HHD","direct",0,0,0
"503",65,1,2,"HHD","direct",0,0,0
"504",75,1,2,"HHD","direct",0,0,0
"505",25,0,3,"HHD","direct",0,0,0
"506",35,0,3,"HHD","direct",0,0,0
"507",45,0,3,"HHD","direct",0,0,0
"508",55,0,3,"HHD","direct",0,0,0
"509",65,0,3,"HHD","direct",0,0,0
"510",75,0,3,"HHD","direct",0,0,0
"511",25,1,3,"HHD","direct",0,0,0
"512",35,1,3,"HHD","direct",0,0,0
"513",45,1,3,"HHD","direct",0,0,0
"514",55,1,3,"HHD","direct",0,0,0
