"age","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
45,1,"SCNC","medBMI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"SCNC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"TC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"TC","medBMI",26.6057363689727,2.16427671927001,25.8858422533874,24.9427815738041,28.880601162389,0.00435478643438494,0.000407243782255917,0.00427883029963341,0.00400526647043264,0.00476886911287603,0.427883029963341,0.400526647043264,0.476886911287603,0.112812242836007,0.00917685221835612,0.109759785702051,0.105761069450833,0.122458004785045
45,1,"TC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"UC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"UC","medBMI",150.006030829435,24.0876435005087,142.930776691063,130.882496139982,175.143531536503,0.0308089321773182,0.00411596046710426,0.028725193039241,0.0281802076926661,0.035208834929336,2.8725193039241,2.81802076926661,3.5208834929336,0.636047675663304,0.102135158006584,0.606047555504433,0.554961070528583,0.742634382933065
45,1,"UC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"AA","medBMI",4.64102015344108,0.341014681443242,4.47195670353622,4.42028727163378,5.00545696766752,0.0299157411033721,0.0029263914007552,0.028915682127349,0.0276852352339236,0.0329962971024403,2.8915682127349,2.76852352339236,3.29962971024403,0.100490262023617,0.00738386250417879,0.0968295947957534,0.0957108160404752,0.108381275150443
45,2,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"AFF","medBMI",0.924942975680536,0.150974969386457,0.864816014612906,0.815871499972573,1.08512236829599,0.0250599140770907,0.00217083496723737,0.0242503181953992,0.023452224242877,0.0273557604107423,2.42503181953992,2.3452224242877,2.73557604107423,0.0200274420084397,0.003269004169569,0.0187255355584343,0.0176657584106925,0.0234957460886914
45,2,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"APCA","medBMI",2.41854304810522,1.33213878747587,1.90784637007499,1.4418411112176,3.82933716131852,0.00340452495520934,0.00165314573382688,0.00283581886163042,0.00214705375103754,0.00514539633892322,0.283581886163042,0.214705375103754,0.514539633892322,0.0523678020314754,0.0288442996107262,0.0413098791410099,0.0312196427234324,0.0829151957964142
45,2,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"BC","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"BC","medBMI",16.8073421256912,7.46401620734543,14.5229189787194,10.941020014462,24.6154239118463,0.00748346885749225,0.00239860108470965,0.0066189923327844,0.00568603889989304,0.0100157038610931,0.66189923327844,0.568603889989304,1.00157038610931,0.363923051029846,0.161615532711819,0.314459296721044,0.236901787044327,0.532988506177846
45,2,"BC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"CC","direct",244.267746503687,12.9737754414401,246.28381729493,231.197948926933,255.623883907884,0.0904510712028447,0.003082430638728,0.0906313862586453,0.0874498883412105,0.0932989862670482,9.06313862586453,8.74498883412105,9.32989862670482,5.28903754746118,0.280916274965802,5.33269076924692,5.00604214135207,5.53492771505243
45,2,"CC","medBMI",7.35732704281979,7.28187730394802,4.46008961973537,2.09449793552132,15.08280795974,0.0027504058739254,0.00278093483602719,0.00157828853843734,0.000788953769807,0.00570815771320865,0.157828853843733,0.0788953769807,0.570815771320864,0.159305432401155,0.157671747612431,0.0965726412982083,0.0453513752127116,0.326582362027102
45,2,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"CM","medBMI",13.8576452789239,0.928804665429061,13.9054214839306,12.9558518896392,14.7188288939529,0.0248941770119697,0.00285457632986377,0.0247710391031328,0.0222365561000547,0.027656465146396,2.47710391031328,2.22365561000547,2.7656465146396,0.300054375777035,0.020111057722626,0.301088855956153,0.280528183046932,0.318701260354889
45,2,"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
