Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,mean_impact,sd_impact,median_impact,lowerci_95_impact,upperci_95_impact
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,Food_price,USD,-5472454.02519774,792660.9021671023,-5143922.60049909,-6314926.858236564,-4909232.903152767
added_sugar,Female,NHW,45-54,17,12961330,tsp eq/day,FL,mrh-eq,-151380.68384796433,17519.482313419605,-144649.4151413557,-169936.60520759682,-138546.3408889492
oil,Female,NHW,45-54,17,12961330,g/day,CED,MJ,-234421.7504171001,84011.05791519153,-256909.81527376059,-302500.7330179296,-147227.91268810912
oil,Female,NHW,45-54,17,12961330,g/day,Food_price,USD,-229499.3853970815,72174.38743292574,-226572.1111363539,-299266.8360340763,-162220.11788170517
oil,Female,NHW,45-54,17,12961330,g/day,FL,mrh-eq,-13092.239814722507,4691.94055311514,-14348.1776172028,-16894.38856997453,-8222.543927362234
sat_fat,Female,NHW,45-54,17,12961330,g/day,CED,MJ,-8790592.288971854,250562.87257434256,-8800415.8294527,-9024314.767290015,-8548519.801244974
sat_fat,Female,NHW,45-54,17,12961330,g/day,Food_price,USD,-927675.3269768173,31171.814193780974,-920829.032278022,-959657.612849463,-901512.3915981478
sat_fat,Female,NHW,45-54,17,12961330,g/day,FL,mrh-eq,-236442.18323233986,6739.435828774469,-236706.4088137354,-242728.65986865788,-229931.11485183556
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,CED,MJ,-649112.60270144,25587.838945321426,-645016.306439399,-674927.2253492186,-626779.8318763963
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,Food_price,USD,-1047215.0719614826,42518.9134667908,-1059848.109505462,-1080878.926154392,-1002813.1358561907
added_sugar,Female,NHB,45-54,18,2294986,tsp eq/day,FL,mrh-eq,-27512.757633265133,1084.545282793491,-27339.1353591288,-28606.915185201,-26566.179014345147
oil,Female,NHB,45-54,18,2294986,g/day,CED,MJ,-87096.0450211657,6237.868221361494,-87881.1164387504,-92653.05977122586,-80871.71956615856
oil,Female,NHB,45-54,18,2294986,g/day,Food_price,USD,-54661.75895929197,1743.4236934663566,-55070.0520245396,-56110.06520107146,-52866.40361205199
oil,Female,NHB,45-54,18,2294986,g/day,FL,mrh-eq,-4204.90080774073,301.15738454264425,-4242.80318823497,-4473.187339069177,-3904.397252992179
sat_fat,Female,NHB,45-54,18,2294986,g/day,CED,MJ,-1036068.084721599,20257.28944609942,-1035763.4516221241,-1055440.34666504,-1016954.760912712
sat_fat,Female,NHB,45-54,18,2294986,g/day,Food_price,USD,-139492.07777810114,2330.0156318158647,-139555.72270633728,-141677.92411498626,-137252.13325221525
sat_fat,Female,NHB,45-54,18,2294986,g/day,FL,mrh-eq,-26928.6507934591,526.5112221486385,-26920.7330142351,-27432.159090497742,-26431.872608760863
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,CED,MJ,-587485.1026232364,41290.16838772473,-564950.132171571,-631630.0571903059,-562494.8729400823
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,Food_price,USD,-964198.225119193,60698.33555468512,-932324.236002887,-1029100.272998156,-926389.06798909
added_sugar,Female,HIS,45-54,19,2981376,tsp eq/day,FL,mrh-eq,-27900.711547085368,1960.94347375357,-26830.4857532966,-29997.233889754672,-26713.88112913651
oil,Female,HIS,45-54,19,2981376,g/day,CED,MJ,-5760.511556290154,12723.122155177687,1063.1673892853196,-19364.672089187537,2043.5218728680784
oil,Female,HIS,45-54,19,2981376,g/day,Food_price,USD,-3555.9044195745123,11622.221555680062,3079.674514670427,-15973.040620987453,3220.9896877302317
oil,Female,HIS,45-54,19,2981376,g/day,FL,mrh-eq,-283.5910858202349,626.3617374520178,52.339933943343,-953.3265111375257,100.6029726980146
sat_fat,Female,HIS,45-54,19,2981376,g/day,CED,MJ,-1483204.6541411062,63288.73235171505,-1463066.214825995,-1549559.855099508,-1433967.126600549
