"age","race","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,2,"medSBP","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","HSTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","IHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","ISTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","OSTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,"medSBP","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","Cancer","dairy_tot",40.5735394473913,2.50491949059167,39.9660316974364,38.5051372985985,43.1583231836458,0.0127398254392223,0.000842420288443587,0.0124522235851776,0.0120975359005512,0.0136265765538314,1.24522235851776,1.20975359005512,1.36265765538314,0.301973046790287,0.018643139860133,0.297451603290381,0.286578735439452,0.321210585116043
25,3,"direct","Cancer","leg_tot",0.913840810652522,0.176091225801087,0.845284131139342,0.785486119584042,1.10046867930721,0.000286886255018606,5.53607808535068e-05,0.000263365326676273,0.000247979416746707,0.000345785882381488,0.0263365326676273,0.0247979416746707,0.0345785882381488,0.00680136112433225,0.00131057838907888,0.00629112046817102,0.00584606716527226,0.00819035964112928
25,3,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","HSTK","leg_tot",1.452003087562,0.360676754473279,1.35726402867823,1.15860735468362,1.82592702049158,0.0200647677697801,0.00571233881603926,0.0220928522635624,0.0140389924291604,0.0243666712906848,2.20928522635624,1.40389924291604,2.43666712906848,0.010806693285128,0.00268437656507513,0.0101015873798798,0.00862306315132046,0.0135896634383966
25,3,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","IHD","leg_tot",0.620531138049742,0.216645327545862,0.543947563687149,0.457147754404351,0.849010559903337,0.00456479193538916,0.00177835048636246,0.0036012698892882,0.00348238060216789,0.00646619700779623,0.36012698892882,0.348238060216789,0.646619700779623,0.00461837150362717,0.00161240676862147,0.00404838979635343,0.0034023726327799,0.00631885482565712
25,3,"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","ISTK","leg_tot",0.480401242288342,0.235565673351468,0.492588022958122,0.251659189390192,0.698784531617178,0.0233188857364787,0.0120898903636462,0.0244051920436627,0.0114066351041273,0.0343077760077238,2.44051920436627,1.14066351041273,3.43077760077238,0.00357543928361854,0.0017532235311485,0.00366614074421432,0.00187300130104415,0.00520078102468653
25,3,"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","OSTK","leg_tot",0.331490832428481,0.0734701027104078,0.317809440213416,0.26842242740175,0.406188420838016,0.0217624654597877,0.0035625852848808,0.0237897257451432,0.0179559295279738,0.0238458301490495,2.37897257451432,1.79559295279738,2.38458301490495,0.0024671571180343,0.000546809350764779,0.00236533184600269,0.00199776355066214,0.00302310216663332
25,3,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","Cancer","leg_tot",3.26700490749711,0.146247584045828,3.21995727291914,3.15356574162155,3.42043456276395,0.00102547821824941,4.00577160256907e-05,0.00101730298620375,0.000991496963921712,0.00106640841981592,0.101730298620375,0.0991496963921712,0.106640841981592,0.0243150447122048,0.00108846379047852,0.0239648874976436,0.0234707611961164,0.0254569618606701
25,3,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","DIAB","leg_tot",1.0654523785913,0.14980245629148,1.10342006647594,0.910474279399452,1.1881579430812,0.0107456172176462,0.00211746439933613,0.0108215875091054,0.00870270991477845,0.0127239497727736,1.08215875091054,0.870270991477845,1.27239497727736,0.00792974695713561,0.00111492131963645,0.00821232566597546,0.00677630534380508,0.00884299666795227
25,3,"medBMI","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","HHD","leg_tot",0.374470375662333,0.365578118828614,0.163871510997585,0.162983093788156,0.764966692501546,0.00470455142250059,0.00461710877760218,0.00204389369756904,0.00203433728846185,0.00963632462273113,0.204389369756904,0.203433728846185,0.963632462273113,0.00278703711363611,0.00272085551041656,0.00121963181255685,0.00121301966939148,0.00569334906379811
25,3,"medBMI","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","HSTK","leg_tot",0.366049664094833,0.0274867741543977,0.355674401246858,0.345781299498385,0.395137002112061,0.00503114887170777,0.000727632862286111,0.00525578361798207,0.00426959156162252,0.00560176664745987,0.525578361798207,0.426959156162252,0.560176664745987,0.00272436503812055,0.000204573351274969,0.00264714599891113,0.00257351549691694,0.00294085076265218
25,3,"medBMI","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","IHD","leg_tot",0.601822898764283,0.196798561362452,0.514553109621622,0.466290313574136,0.81153480472569,0.00445312907451044,0.00170147314973616,0.00393586963404007,0.00311359124099451,0.0062323374324262,0.393586963404007,0.311359124099451,0.62323374324262,0.00447913336729359,0.00146469502015275,0.0038296183267257,0.00347041713876982,0.00603993738030005
25,3,"medBMI","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","ISTK","leg_tot",0.139296903508887,0.0242483769243733,0.131913041504087,0.120214532272374,0.16465555744948,0.00667001647355046,0.00129545126662345,0.00592550379833025,0.00591901745439704,0.00805385126664106,0.592550379833025,0.591901745439704,0.805385126664106,0.00103673258320419,0.000180471222360737,0.000981777375030657,0.000894709928519487,0.0012254671648364
25,3,"medBMI","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","OSTK","leg_tot",0.066954469183918,0.019587526104315,0.0591698518395686,0.0527916856613381,0.0877341774491948,0.00455414753264534,0.00190806079459198,0.00392848485607847,0.00308201997729959,0.00655808836307292,0.392848485607847,0.308201997729959,0.655808836307292,0.000498316028896366,0.000145782325559093,0.00044037815486352,0.000392907948911377,0.000652971301809275
25,3,"medBMI","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medBMI","Other_CVD","leg_tot",1.30829594501499,0.346039204047143,1.2466178296051,1.00971195436235,1.65930633376604,0.00544249925197764,0.00100919496830792,0.00539435769612437,0.00450504266839882,0.00642087615803174,0.539435769612437,0.450504266839882,0.642087615803174,0.00973713701097766,0.00257543497999458,0.00927809082757142,0.00751489269588431,0.0123495705819663
25,3,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medSBP","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medSBP","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medSBP","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medSBP","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,"medSBP","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
